ANO;MES;NM_MES;PRODUTO;ESTADO - SIGLA;NM_ESTADO;VL_MEDIO_VENDA
2022;1;JANEIRO;GNV;MT;MATO GROSSO;3.18
2022;1;JANEIRO;GNV;PB;PARAÍBA;4.8
2022;1;JANEIRO;GNV;PE;PERNAMBUCO;3.95
2022;1;JANEIRO;GNV;PR;PARANÁ;4.41
2022;1;JANEIRO;GNV;RJ;RIO DE JANEIRO;4.41
2022;1;JANEIRO;GNV;RS;RIO GRANDE DO SUL;5.37
2022;1;JANEIRO;GNV;SC;SANTA CATARINA;5.1
2022;1;JANEIRO;GNV;SE;SERGIPE;4.49
2022;1;JANEIRO;GNV;SP;SÃO PAULO;4.6
2022;2;FEVEREIRO;DIESEL;AC;ACRE;6.41
2022;2;FEVEREIRO;DIESEL;AL;ALAGOAS;5.78
2022;2;FEVEREIRO;DIESEL;AM;AMAZONAS;5.8
2022;2;FEVEREIRO;DIESEL;AP;AMAPÁ;5.59
2022;2;FEVEREIRO;DIESEL;BA;BAHIA;5.86
2022;2;FEVEREIRO;DIESEL;CE;CEARÁ;5.85
2022;2;FEVEREIRO;DIESEL;DF;DISTRITO FEDERAL;5.6
2022;2;FEVEREIRO;DIESEL;ES;ESPIRITO SANTO;5.39
2022;2;FEVEREIRO;DIESEL;GO;GOIÁS;5.65
2022;2;FEVEREIRO;DIESEL;MA;MARANHÃO;5.65
2022;2;FEVEREIRO;DIESEL;MG;MINAS GERAIS;5.6
2022;2;FEVEREIRO;DIESEL;MS;MATO GROSSO DO SUL;5.6
2022;2;FEVEREIRO;DIESEL;MT;MATO GROSSO;5.91
2022;2;FEVEREIRO;DIESEL;PA;PARÁ;5.89
2022;2;FEVEREIRO;DIESEL;PB;PARAÍBA;5.61
2022;2;FEVEREIRO;DIESEL;PE;PERNAMBUCO;5.69
2022;2;FEVEREIRO;DIESEL;PI;PIAUÍ;5.78
2022;2;FEVEREIRO;DIESEL;PR;PARANÁ;5.39
2022;2;FEVEREIRO;DIESEL;RJ;RIO DE JANEIRO;5.53
2022;2;FEVEREIRO;DIESEL;RO;RONDÔNIA;5.93
2022;2;FEVEREIRO;DIESEL;RR;RORAIMA;5.9
2022;2;FEVEREIRO;DIESEL;RS;RIO GRANDE DO SUL;5.47
2022;2;FEVEREIRO;DIESEL;SC;SANTA CATARINA;5.5
2022;2;FEVEREIRO;DIESEL;SE;SERGIPE;5.63
2022;2;FEVEREIRO;DIESEL;SP;SÃO PAULO;5.53
2022;2;FEVEREIRO;DIESEL;TO;TOCANTINS;5.61
2022;2;FEVEREIRO;DIESEL S10;AC;ACRE;6.42
2022;2;FEVEREIRO;DIESEL S10;AL;ALAGOAS;5.81
2022;2;FEVEREIRO;DIESEL S10;AM;AMAZONAS;5.87
2022;2;FEVEREIRO;DIESEL S10;AP;AMAPÁ;5.81
2022;2;FEVEREIRO;DIESEL S10;BA;BAHIA;5.92
2022;2;FEVEREIRO;DIESEL S10;CE;CEARÁ;5.82
2022;2;FEVEREIRO;DIESEL S10;DF;DISTRITO FEDERAL;5.69
2022;2;FEVEREIRO;DIESEL S10;ES;ESPIRITO SANTO;5.5
2022;2;FEVEREIRO;DIESEL S10;GO;GOIÁS;5.75
2022;2;FEVEREIRO;DIESEL S10;MA;MARANHÃO;5.63
2022;2;FEVEREIRO;DIESEL S10;MG;MINAS GERAIS;5.67
2022;2;FEVEREIRO;DIESEL S10;MS;MATO GROSSO DO SUL;5.72
2022;2;FEVEREIRO;DIESEL S10;MT;MATO GROSSO;5.96
2022;2;FEVEREIRO;DIESEL S10;PA;PARÁ;5.93
2022;2;FEVEREIRO;DIESEL S10;PB;PARAÍBA;5.73
2022;2;FEVEREIRO;DIESEL S10;PE;PERNAMBUCO;5.48
2022;2;FEVEREIRO;DIESEL S10;PI;PIAUÍ;5.8
2022;2;FEVEREIRO;DIESEL S10;PR;PARANÁ;5.45
2022;2;FEVEREIRO;DIESEL S10;RJ;RIO DE JANEIRO;5.62
2022;2;FEVEREIRO;DIESEL S10;RO;RONDÔNIA;5.96
2022;2;FEVEREIRO;DIESEL S10;RR;RORAIMA;5.94
2022;2;FEVEREIRO;DIESEL S10;RS;RIO GRANDE DO SUL;5.54
2022;2;FEVEREIRO;DIESEL S10;SC;SANTA CATARINA;5.54
2022;2;FEVEREIRO;DIESEL S10;SE;SERGIPE;5.72
2022;2;FEVEREIRO;DIESEL S10;SP;SÃO PAULO;5.61
2022;2;FEVEREIRO;DIESEL S10;TO;TOCANTINS;5.59
2022;2;FEVEREIRO;ETANOL;AC;ACRE;6.16
2022;2;FEVEREIRO;ETANOL;AL;ALAGOAS;5.24
2022;2;FEVEREIRO;ETANOL;AM;AMAZONAS;5.33
2022;2;FEVEREIRO;ETANOL;AP;AMAPÁ;5.96
2022;2;FEVEREIRO;ETANOL;BA;BAHIA;5.28
2022;2;FEVEREIRO;ETANOL;CE;CEARÁ;5.58
2022;2;FEVEREIRO;ETANOL;DF;DISTRITO FEDERAL;5.56
2022;2;FEVEREIRO;ETANOL;ES;ESPIRITO SANTO;5.65
2022;2;FEVEREIRO;ETANOL;GO;GOIÁS;4.76
2022;2;FEVEREIRO;ETANOL;MA;MARANHÃO;5.64
2022;2;FEVEREIRO;ETANOL;MG;MINAS GERAIS;4.94
2022;2;FEVEREIRO;ETANOL;MS;MATO GROSSO DO SUL;5.14
2022;2;FEVEREIRO;ETANOL;MT;MATO GROSSO;4.48
2022;2;FEVEREIRO;ETANOL;PA;PARÁ;6.12
2022;2;FEVEREIRO;ETANOL;PB;PARAÍBA;5.02
2022;2;FEVEREIRO;ETANOL;PE;PERNAMBUCO;5.15
2022;2;FEVEREIRO;ETANOL;PI;PIAUÍ;5.24
2022;2;FEVEREIRO;ETANOL;PR;PARANÁ;4.92
2022;2;FEVEREIRO;ETANOL;RJ;RIO DE JANEIRO;5.94
2022;2;FEVEREIRO;ETANOL;RO;RONDÔNIA;6.14
2022;2;FEVEREIRO;ETANOL;RR;RORAIMA;6.2
2022;2;FEVEREIRO;ETANOL;RS;RIO GRANDE DO SUL;6.36
2022;2;FEVEREIRO;ETANOL;SC;SANTA CATARINA;5.92
2022;2;FEVEREIRO;ETANOL;SE;SERGIPE;5.13
2022;2;FEVEREIRO;ETANOL;SP;SÃO PAULO;4.49
2022;2;FEVEREIRO;ETANOL;TO;TOCANTINS;5.74
2022;2;FEVEREIRO;GASOLINA;AC;ACRE;7.08
2022;2;FEVEREIRO;GASOLINA;AL;ALAGOAS;6.6
2022;2;FEVEREIRO;GASOLINA;AM;AMAZONAS;6.8
2022;2;FEVEREIRO;GASOLINA;AP;AMAPÁ;5.87
2022;2;FEVEREIRO;GASOLINA;BA;BAHIA;6.92
2022;2;FEVEREIRO;GASOLINA;CE;CEARÁ;6.59
2022;2;FEVEREIRO;GASOLINA;DF;DISTRITO FEDERAL;6.76
2022;2;FEVEREIRO;GASOLINA;ES;ESPIRITO SANTO;6.8
2022;2;FEVEREIRO;GASOLINA;GO;GOIÁS;6.84
2022;2;FEVEREIRO;GASOLINA;MA;MARANHÃO;6.57
2022;2;FEVEREIRO;GASOLINA;MG;MINAS GERAIS;6.95
2022;2;FEVEREIRO;GASOLINA;MS;MATO GROSSO DO SUL;6.65
2022;2;FEVEREIRO;GASOLINA;MT;MATO GROSSO;6.37
2022;2;FEVEREIRO;GASOLINA;PA;PARÁ;6.9
2022;2;FEVEREIRO;GASOLINA;PB;PARAÍBA;6.48
2022;2;FEVEREIRO;GASOLINA;PE;PERNAMBUCO;6.49
2022;2;FEVEREIRO;GASOLINA;PI;PIAUÍ;6.85
2022;2;FEVEREIRO;GASOLINA;PR;PARANÁ;6.48
2022;2;FEVEREIRO;GASOLINA;RJ;RIO DE JANEIRO;7.24
2022;2;FEVEREIRO;GASOLINA;RO;RONDÔNIA;6.85
2022;2;FEVEREIRO;GASOLINA;RR;RORAIMA;6.48
2022;2;FEVEREIRO;GASOLINA;RS;RIO GRANDE DO SUL;6.39
2022;2;FEVEREIRO;GASOLINA;SC;SANTA CATARINA;6.52
