ANO;MES;NM_MES;REGIAO - SIGLA;ESTADO - SIGLA;NM_ESTADO;MUNICIPIO;PRODUTO;VL_MEDIO_VENDA
2022;1;JANEIRO;N;PA;PARÁ;ITAITUBA;DIESEL S10;5.68
2022;1;JANEIRO;N;PA;PARÁ;ITAITUBA;ETANOL;6.06
2022;1;JANEIRO;N;PA;PARÁ;ITAITUBA;GASOLINA;6.76
2022;1;JANEIRO;N;PA;PARÁ;ITAITUBA;GASOLINA ADITIVADA;6.84
2022;1;JANEIRO;N;PA;PARÁ;MARABA;DIESEL;5.76
2022;1;JANEIRO;N;PA;PARÁ;MARABA;DIESEL S10;5.8
2022;1;JANEIRO;N;PA;PARÁ;MARABA;ETANOL;6.02
2022;1;JANEIRO;N;PA;PARÁ;MARABA;GASOLINA;6.77
2022;1;JANEIRO;N;PA;PARÁ;MARABA;GASOLINA ADITIVADA;6.9
2022;1;JANEIRO;N;PA;PARÁ;PARAGOMINAS;DIESEL;5.88
2022;1;JANEIRO;N;PA;PARÁ;PARAGOMINAS;DIESEL S10;5.93
2022;1;JANEIRO;N;PA;PARÁ;PARAGOMINAS;ETANOL;6.48
2022;1;JANEIRO;N;PA;PARÁ;PARAGOMINAS;GASOLINA;7.12
2022;1;JANEIRO;N;PA;PARÁ;PARAGOMINAS;GASOLINA ADITIVADA;7.2
2022;1;JANEIRO;N;PA;PARÁ;PARAUAPEBAS;DIESEL;6.08
2022;1;JANEIRO;N;PA;PARÁ;PARAUAPEBAS;DIESEL S10;6.09
2022;1;JANEIRO;N;PA;PARÁ;PARAUAPEBAS;ETANOL;6.36
2022;1;JANEIRO;N;PA;PARÁ;PARAUAPEBAS;GASOLINA;7.27
2022;1;JANEIRO;N;PA;PARÁ;PARAUAPEBAS;GASOLINA ADITIVADA;7.39
2022;1;JANEIRO;N;PA;PARÁ;REDENCAO;DIESEL;5.82
2022;1;JANEIRO;N;PA;PARÁ;REDENCAO;DIESEL S10;5.85
2022;1;JANEIRO;N;PA;PARÁ;REDENCAO;GASOLINA;7.22
2022;1;JANEIRO;N;PA;PARÁ;REDENCAO;GASOLINA ADITIVADA;7.24
2022;1;JANEIRO;N;PA;PARÁ;SANTAREM;DIESEL;5.81
2022;1;JANEIRO;N;PA;PARÁ;SANTAREM;DIESEL S10;5.88
2022;1;JANEIRO;N;PA;PARÁ;SANTAREM;ETANOL;6.56
2022;1;JANEIRO;N;PA;PARÁ;SANTAREM;GASOLINA;6.76
2022;1;JANEIRO;N;PA;PARÁ;SANTAREM;GASOLINA ADITIVADA;6.88
2022;1;JANEIRO;N;PA;PARÁ;XINGUARA;DIESEL;5.97
2022;1;JANEIRO;N;PA;PARÁ;XINGUARA;DIESEL S10;5.99
2022;1;JANEIRO;N;PA;PARÁ;XINGUARA;ETANOL;6.3
2022;1;JANEIRO;N;PA;PARÁ;XINGUARA;GASOLINA;7.4
2022;1;JANEIRO;N;PA;PARÁ;XINGUARA;GASOLINA ADITIVADA;7.49
2022;1;JANEIRO;N;RO;RONDÔNIA;CACOAL;DIESEL;5.76
